iTOW,year,month,day,hour,min,second,validDate,validTime,fullyResolved,validMag,tAcc,nano,fixType,gnssFixOk,diffSoln,psmState,headVehValid,carrSoln,confirmedAvai,confirmedDate,confirmedTime,numSV,lon,lat,height,hMSL,hAcc,vAcc,velN,velE,velD,gSpeed,headMot,sAcc,headAcc,pDOP,invalidLlh,lastCorrectionAge,reserved0,headVeh,magDec,magAcc
94449000,2025,10,27,2,13,51,1,1,1,0,23,-454659,3,1,1,0,0,0,1,1,1,31,114.1801292,22.3057516,19753,21366,860,1289,436,682,-33,810,57.43469,104,6.93073,1.08,0,0,558842204,0.0,0.0,0.0
94450000,2025,10,27,2,13,52,1,1,1,0,23,-454727,3,1,1,0,0,0,1,1,1,31,114.1801349,22.3057558,19663,21276,856,1291,475,587,19,755,51.00422,104,6.99334,1.08,0,0,558842204,0.0,0.0,0.0
94451000,2025,10,27,2,13,53,1,1,1,0,23,-454796,3,1,1,0,0,0,1,1,1,31,114.1801409,22.3057598,19618,21231,846,1282,463,588,8,749,51.81546,92,7.01742,1.08,0,0,558842204,0.0,0.0,0.0
94452000,2025,10,27,2,13,54,1,1,1,0,23,-454865,3,1,1,0,0,0,1,1,1,31,114.1801476,22.3057643,19522,21135,831,1269,495,687,95,847,54.24713,92,5.75479,1.08,0,0,558842204,0.0,0.0,0.0
94453000,2025,10,27,2,13,55,1,1,1,0,23,-454934,3,1,1,0,0,0,1,1,1,31,114.1801544,22.3057696,19405,21018,812,1248,577,739,16,938,52.00197,92,4.71654,1.08,0,0,558842204,0.0,0.0,0.0
94454000,2025,10,27,2,13,56,1,1,1,0,23,-455004,3,1,1,0,0,0,1,1,1,32,114.1801608,22.3057743,19229,20842,792,1228,483,665,127,821,54.0141,86,5.43713,1.04,0,0,558842204,0.0,0.0,0.0
94455000,2025,10,27,2,13,57,1,1,1,0,23,-455073,3,1,1,0,0,0,1,1,1,32,114.1801665,22.3057781,19122,20735,768,1202,404,576,-1,704,54.93948,80,5.46511,1.04,0,0,558842204,0.0,0.0,0.0
94456000,2025,10,27,2,13,58,1,1,1,0,23,-455142,3,1,1,0,0,0,1,1,1,32,114.1801729,22.3057824,19040,20653,748,1181,483,698,90,849,55.33631,82,4.39438,1.06,0,0,558842204,0.0,0.0,0.0
94457000,2025,10,27,2,13,59,1,1,1,0,23,-455212,3,1,1,0,0,0,1,1,1,32,114.1801796,22.3057868,18931,20544,731,1161,513,684,72,855,53.14804,81,4.32228,1.06,0,0,558842204,0.0,0.0,0.0
94458000,2025,10,27,2,14,0,1,1,1,0,23,-455282,3,1,1,0,0,0,1,1,1,32,114.1801858,22.3057914,18778,20391,716,1145,532,606,157,807,48.74166,91,4.80366,1.04,0,0,558842204,0.0,0.0,0.0
94459000,2025,10,27,2,14,1,1,1,1,0,23,-455353,3,1,1,0,0,0,1,1,1,31,114.1801917,22.3057952,18672,20285,706,1134,395,622,36,737,57.59309,85,5.01569,1.07,0,0,558842204,0.0,0.0,0.0
94460000,2025,10,27,2,14,2,1,1,1,0,23,-455423,3,1,1,0,0,0,1,1,1,31,114.1801976,22.3057987,18583,20196,697,1124,410,606,45,732,55.93258,88,5.36296,1.07,0,0,558842204,0.0,0.0,0.0
94461000,2025,10,27,2,14,3,1,1,1,0,23,-455493,3,1,1,0,0,0,1,1,1,31,114.180204,22.3058029,18469,20082,687,1114,496,662,108,827,53.18821,81,4.28761,1.07,0,0,558842204,0.0,0.0,0.0
94462000,2025,10,27,2,14,4,1,1,1,0,23,-455563,3,1,1,0,0,0,1,1,1,31,114.1802097,22.3058072,18395,20008,677,1103,485,552,12,735,48.67603,76,4.98224,1.07,0,0,558842204,0.0,0.0,0.0
94463000,2025,10,27,2,14,5,1,1,1,0,23,-455633,3,1,1,0,0,0,1,1,1,31,114.1802163,22.305812,18237,19849,670,1098,565,731,181,924,52.32074,86,4.16132,1.07,0,0,558842204,0.0,0.0,0.0
94464000,2025,10,27,2,14,6,1,1,1,0,23,-455703,3,1,1,0,0,0,1,1,1,31,114.1802231,22.3058166,18163,19776,666,1098,478,687,90,837,55.14749,86,4.61737,1.07,0,0,558842204,0.0,0.0,0.0
94465000,2025,10,27,2,14,7,1,1,1,0,23,-455774,3,1,1,0,0,0,1,1,1,31,114.1802305,22.3058202,18109,19722,664,1101,364,793,93,872,65.3548,93,4.40151,1.07,0,0,558842204,0.0,0.0,0.0
94466000,2025,10,27,2,14,8,1,1,1,0,23,-455844,3,1,1,0,0,0,1,1,1,31,114.1802377,22.3058232,18075,19688,660,1100,322,712,23,781,65.65875,78,4.61978,1.07,0,0,558842204,0.0,0.0,0.0
94467000,2025,10,27,2,14,9,1,1,1,0,23,-455914,3,1,1,0,0,0,1,1,1,31,114.1802449,22.3058262,18090,19702,657,1100,350,760,-27,836,65.29984,85,4.13186,1.07,0,0,558842204,0.0,0.0,0.0
94468000,2025,10,27,2,14,10,1,1,1,0,23,-455985,3,1,1,0,0,0,1,1,1,31,114.1802536,22.3058293,18009,19622,655,1101,345,943,168,1004,69.89409,92,3.55645,1.07,0,0,558842204,0.0,0.0,0.0
94469000,2025,10,27,2,14,11,1,1,1,0,23,-456056,3,1,1,0,0,0,1,1,1,31,114.1802617,22.3058311,17917,19530,655,1105,152,770,138,785,78.80761,95,5.38105,1.07,0,0,558842204,0.0,0.0,0.0
94470000,2025,10,27,2,14,12,1,1,1,0,23,-456127,3,1,1,0,0,0,1,1,1,31,114.1802693,22.3058311,17799,19412,661,1117,-51,778,119,780,93.76626,101,6.61494,1.07,0,0,558842204,0.0,0.0,0.0
94471000,2025,10,27,2,14,13,1,1,1,0,23,-456198,3,1,1,0,0,0,1,1,1,31,114.1802772,22.3058302,17681,19293,672,1130,-100,807,183,813,97.06026,111,6.23688,1.07,0,0,558842204,0.0,0.0,0.0
94472000,2025,10,27,2,14,14,1,1,1,0,23,-456270,3,1,1,0,0,0,1,1,1,31,114.1802863,22.305829,17592,19204,680,1144,-125,976,159,984,97.28996,111,4.93968,1.07,0,0,558842204,0.0,0.0,0.0
94473000,2025,10,27,2,14,15,1,1,1,0,23,-456342,3,1,1,0,0,0,1,1,1,31,114.1802955,22.3058266,17360,18973,692,1164,-322,920,161,975,109.30582,112,5.81653,1.07,0,0,558842204,0.0,0.0,0.0
94474000,2025,10,27,2,14,16,1,1,1,0,23,-456412,3,1,1,0,0,0,1,1,1,31,114.1803041,22.3058231,17277,18890,704,1178,-407,845,-13,938,115.7031,93,6.58528,1.07,0,0,558842204,0.0,0.0,0.0
94475000,2025,10,27,2,14,17,1,1,1,0,23,-456483,3,1,1,0,0,0,1,1,1,31,114.1803118,22.3058185,17290,18903,714,1189,-547,749,-17,927,126.13608,81,7.1394,1.07,0,0,558842204,0.0,0.0,0.0
94476000,2025,10,27,2,14,18,1,1,1,0,23,-456554,3,1,1,0,0,0,1,1,1,30,114.1803189,22.3058144,17202,18815,724,1201,-415,701,152,814,120.60886,102,8.21328,1.12,0,0,558842204,0.0,0.0,0.0
94477000,2025,10,27,2,14,19,1,1,1,0,23,-456624,3,1,1,0,0,0,1,1,1,31,114.1803262,22.3058105,17026,18638,738,1218,-460,761,115,890,121.14082,97,8.40637,1.12,0,0,558842204,0.0,0.0,0.0
94478000,2025,10,27,2,14,20,1,1,1,0,23,-456695,3,1,1,0,0,0,1,1,1,30,114.1803332,22.3058052,16995,18607,753,1234,-631,700,32,942,132.0262,85,7.81187,1.16,0,0,558842204,0.0,0.0,0.0
94479000,2025,10,27,2,14,21,1,1,1,0,23,-456766,3,1,1,0,0,0,1,1,1,30,114.1803393,22.3057991,16978,18590,767,1248,-695,597,45,917,139.3499,79,7.75572,1.17,0,0,558842204,0.0,0.0,0.0
94480000,2025,10,27,2,14,22,1,1,1,0,23,-456837,3,1,1,0,0,0,1,1,1,30,114.1803443,22.305793,16921,18533,781,1264,-666,501,29,833,143.05294,85,9.02753,1.17,0,0,558842204,0.0,0.0,0.0
94481000,2025,10,27,2,14,23,1,1,1,0,23,-456908,3,1,1,0,0,0,1,1,1,30,114.1803495,22.3057868,16820,18432,792,1274,-709,519,49,879,143.8255,78,8.2505,1.17,0,0,558842204,0.0,0.0,0.0
94482000,2025,10,27,2,14,24,1,1,1,0,23,-456979,3,1,1,0,0,0,1,1,1,30,114.1803545,22.3057806,16773,18386,799,1280,-668,507,60,839,142.7981,81,8.47913,1.17,0,0,558842204,0.0,0.0,0.0
94483000,2025,10,27,2,14,25,1,1,1,0,23,-457051,3,1,1,0,0,0,1,1,1,30,114.1803602,22.3057738,16716,18328,807,1285,-745,597,81,955,141.27268,84,7.73231,1.28,0,0,558842204,0.0,0.0,0.0
94484000,2025,10,27,2,14,26,1,1,1,0,23,-457122,3,1,1,0,0,0,1,1,1,29,114.1803661,22.3057669,16508,18120,818,1299,-762,600,114,970,141.79884,95,7.50138,1.28,0,0,558842204,0.0,0.0,0.0
94485000,2025,10,27,2,14,27,1,1,1,0,23,-457193,3,1,1,0,0,0,1,1,1,29,114.1803708,22.3057601,16528,18140,829,1314,-720,441,-10,845,148.49768,85,8.86392,1.17,0,0,558842204,0.0,0.0,0.0
94486000,2025,10,27,2,14,28,1,1,1,0,23,-457265,3,1,1,0,0,0,1,1,1,30,114.1803738,22.3057529,16553,18165,839,1329,-789,261,42,831,161.68444,91,8.83899,1.22,0,0,558842204,0.0,0.0,0.0
94487000,2025,10,27,2,14,29,1,1,1,0,23,-457336,3,1,1,0,0,0,1,1,1,27,114.1803763,22.3057458,16481,18093,841,1330,-770,202,112,796,165.33686,83,8.41817,1.23,0,0,558842204,0.0,0.0,0.0
94488000,2025,10,27,2,14,30,1,1,1,0,23,-457408,3,1,1,0,0,0,1,1,1,28,114.1803792,22.305739,16352,17965,841,1331,-750,290,126,804,158.8496,84,8.88539,1.26,0,0,558842204,0.0,0.0,0.0
94489000,2025,10,27,2,14,31,1,1,1,0,23,-457480,3,1,1,0,0,0,1,1,1,30,114.1803812,22.3057314,16233,17845,843,1332,-865,124,168,873,171.8369,81,8.02947,1.18,0,0,558842204,0.0,0.0,0.0
94490000,2025,10,27,2,14,32,1,1,1,0,23,-457553,3,1,1,0,0,0,1,1,1,27,114.1803825,22.3057231,16226,17838,846,1334,-910,97,94,915,173.93314,85,8.02334,1.26,0,0,558842204,0.0,0.0,0.0
94491000,2025,10,27,2,14,33,1,1,1,0,23,-457626,3,1,1,0,0,0,1,1,1,29,114.1803831,22.3057154,16200,17812,846,1331,-828,-45,45,829,183.08924,77,7.99896,1.39,0,0,558842204,0.0,0.0,0.0
94492000,2025,10,27,2,14,34,1,1,1,0,23,-457698,3,1,1,0,0,0,1,1,1,29,114.1803826,22.305709,16069,17681,846,1333,-687,-142,110,701,191.66844,79,9.29719,1.39,0,0,558842204,0.0,0.0,0.0
94493000,2025,10,27,2,14,35,1,1,1,0,23,-457770,3,1,1,0,0,0,1,1,1,29,114.1803828,22.3057033,15895,17507,850,1344,-614,2,143,614,179.85214,86,10.6862,1.56,0,0,558842204,0.0,0.0,0.0
94494000,2025,10,27,2,14,36,1,1,1,0,23,-457843,3,1,1,0,0,0,1,1,1,29,114.1803836,22.3056973,15716,17328,853,1345,-676,43,174,678,176.36446,80,10.49875,1.2,0,0,558842204,0.0,0.0,0.0
94495000,2025,10,27,2,14,37,1,1,1,0,23,-457915,3,1,1,0,0,0,1,1,1,29,114.1803835,22.3056922,15445,17057,857,1351,-528,-97,233,536,190.42424,85,12.09329,1.22,0,0,558842204,0.0,0.0,0.0
94496000,2025,10,27,2,14,38,1,1,1,0,23,-457988,3,1,1,0,0,0,1,1,1,28,114.1803828,22.3056891,15287,16899,866,1372,-257,-87,177,271,198.62354,100,23.99895,1.39,0,0,558842204,0.0,0.0,0.0
94497000,2025,10,27,2,14,39,1,1,1,0,23,-458061,3,1,1,0,0,0,1,1,1,29,114.180382,22.3056875,15234,16846,877,1389,-99,-97,116,139,224.38702,113,40.28093,1.2,0,0,558842204,0.0,0.0,0.0
94498000,2025,10,27,2,14,40,1,1,1,0,23,-458134,3,1,1,0,0,0,1,1,1,29,114.1803809,22.3056875,15083,16695,886,1401,-17,-103,55,104,196.85742,106,52.10243,1.16,0,0,558842204,0.0,0.0,0.0
94499000,2025,10,27,2,14,41,1,1,1,0,23,-458208,3,1,1,0,0,0,1,1,1,29,114.1803797,22.3056883,15119,16731,886,1394,189,-138,-4,234,323.82968,76,28.64395,1.39,0,0,558842204,0.0,0.0,0.0
94500000,2025,10,27,2,14,42,1,1,1,0,23,-458283,3,1,1,0,0,0,1,1,1,30,114.180378,22.3056899,15344,16956,879,1381,260,-101,47,279,338.73056,63,23.02533,1.31,0,0,558842204,0.0,0.0,0.0
94501000,2025,10,27,2,14,43,1,1,1,0,23,-458357,3,1,1,0,0,0,1,1,1,27,114.180379,22.305693,15003,16615,873,1372,380,92,327,391,13.69761,128,13.74395,1.56,0,0,558842204,0.0,0.0,0.0
94502000,2025,10,27,2,14,44,1,1,1,0,23,-458432,3,1,1,0,0,0,1,1,1,29,114.1803752,22.305696,14933,16546,865,1358,277,-599,102,660,294.85408,91,6.88048,1.56,0,0,558842204,0.0,0.0,0.0
94503000,2025,10,27,2,14,45,1,1,1,0,23,-458507,3,1,1,0,0,0,1,1,1,27,114.1803695,22.3056993,14904,16517,872,1363,389,-562,58,684,304.71078,125,12.67915,1.38,0,0,558842204,0.0,0.0,0.0
94504000,2025,10,27,2,14,46,1,1,1,0,23,-458582,3,1,1,0,0,0,1,1,1,22,114.1803629,22.3057013,14936,16548,916,1410,140,-797,-130,809,279.99008,252,13.57258,1.44,0,0,558842204,0.0,0.0,0.0
94505000,2025,10,27,2,14,47,1,1,1,0,23,-458653,3,1,1,0,0,0,1,1,1,28,114.1803557,22.3057026,14797,16409,934,1396,-10,-857,-79,857,269.35812,128,4.60945,1.35,0,0,558842204,0.0,0.0,0.0
94506000,2025,10,27,2,14,48,1,1,1,0,23,-458722,3,1,1,0,0,0,1,1,1,30,114.1803479,22.3057022,14792,16404,928,1394,-127,-825,16,834,261.27154,122,5.5356,1.26,0,0,558842204,0.0,0.0,0.0
94507000,2025,10,27,2,14,49,1,1,1,0,23,-458791,3,1,1,0,0,0,1,1,1,29,114.1803431,22.3057015,14994,16606,925,1395,-87,-378,-234,388,257.0469,187,12.33193,1.26,0,0,558842204,0.0,0.0,0.0
94508000,2025,10,27,2,14,50,1,1,1,0,23,-458860,3,1,1,0,0,0,1,1,1,30,114.18034,22.305701,15267,16879,928,1406,-69,-325,-232,333,258.07304,204,16.37252,1.26,0,0,558842204,0.0,0.0,0.0
94509000,2025,10,27,2,14,51,1,1,1,0,24,-458930,3,1,1,0,0,0,1,1,1,29,114.1803366,22.3056998,15584,17196,932,1416,-186,-287,-186,342,237.06436,190,16.835,1.26,0,0,558842204,0.0,0.0,0.0
94510000,2025,10,27,2,14,52,1,1,1,0,24,-459000,3,1,1,0,0,0,1,1,1,29,114.1803344,22.3056989,15736,17348,936,1426,-51,-229,-118,235,257.38358,174,25.58877,1.46,0,0,558842204,0.0,0.0,0.0
94511000,2025,10,27,2,14,53,1,1,1,0,24,-459071,3,1,1,0,0,0,1,1,1,28,114.1803327,22.3056984,15802,17414,939,1437,-68,-185,-45,197,249.90288,155,27.58975,1.26,0,0,558842204,0.0,0.0,0.0
94512000,2025,10,27,2,14,54,1,1,1,0,24,-459142,3,1,1,0,0,0,1,1,1,30,114.1803305,22.3056965,15832,17444,945,1453,-256,-323,-68,412,231.58962,155,15.88177,1.2,0,0,558842204,0.0,0.0,0.0
94513000,2025,10,27,2,14,55,1,1,1,0,24,-459214,3,1,1,0,0,0,1,1,1,30,114.1803265,22.3056947,16063,17676,949,1463,-136,-438,-212,459,252.7006,182,13.51644,1.2,0,0,558842204,0.0,0.0,0.0
94514000,2025,10,27,2,14,56,1,1,1,0,24,-459285,3,1,1,0,0,0,1,1,1,30,114.1803225,22.3056932,16347,17959,946,1461,-170,-365,-246,403,245.0853,180,12.68486,1.35,0,0,558842204,0.0,0.0,0.0
94515000,2025,10,27,2,14,57,1,1,1,0,24,-459356,3,1,1,0,0,0,1,1,1,29,114.1803199,22.3056913,16473,18085,940,1458,-234,-291,-142,373,231.27016,158,12.99499,1.21,0,0,558842204,0.0,0.0,0.0
94516000,2025,10,27,2,14,58,1,1,1,0,24,-459426,3,1,1,0,0,0,1,1,1,30,114.1803167,22.3056894,16661,18273,935,1454,-199,-375,-229,425,242.09956,177,12.26356,1.2,0,0,558842204,0.0,0.0,0.0
94517000,2025,10,27,2,14,59,1,1,1,0,24,-459497,3,1,1,0,0,0,1,1,1,29,114.1803129,22.3056873,16877,18489,925,1443,-243,-395,-169,464,238.32702,155,10.41351,1.32,0,0,558842204,0.0,0.0,0.0
94518000,2025,10,27,2,15,0,1,1,1,0,24,-459566,3,1,1,0,0,0,1,1,1,30,114.1803086,22.3056862,16968,18580,921,1441,-97,-496,-98,506,258.90028,130,11.27073,1.19,0,0,558842204,0.0,0.0,0.0
94519000,2025,10,27,2,15,1,1,1,1,0,24,-459634,3,1,1,0,0,0,1,1,1,30,114.1803042,22.305684,17025,18638,912,1433,-353,-438,-110,562,231.12218,130,8.4701,1.19,0,0,558842204,0.0,0.0,0.0
94520000,2025,10,27,2,15,2,1,1,1,0,24,-459700,3,1,1,0,0,0,1,1,1,30,114.1803003,22.3056809,17003,18616,900,1417,-359,-432,-21,562,230.29622,116,8.51504,1.32,0,0,558842204,0.0,0.0,0.0
94521000,2025,10,27,2,15,3,1,1,1,0,23,-459767,3,1,1,0,0,0,1,1,1,31,114.180296,22.3056784,17095,18707,889,1401,-244,-440,-108,503,241.02218,129,8.61085,1.19,0,0,558842204,0.0,0.0,0.0
94522000,2025,10,27,2,15,4,1,1,1,0,23,-459833,3,1,1,0,0,0,1,1,1,31,114.1802917,22.3056767,17231,18843,882,1392,-147,-448,-143,471,251.79328,133,10.05665,1.19,0,0,558842204,0.0,0.0,0.0
94523000,2025,10,27,2,15,5,1,1,1,0,23,-459899,3,1,1,0,0,0,1,1,1,31,114.1802875,22.3056754,17296,18909,875,1379,-147,-417,-21,442,250.57822,104,10.6009,1.32,0,0,558842204,0.0,0.0,0.0
94524000,2025,10,27,2,15,6,1,1,1,0,23,-459965,3,1,1,0,0,0,1,1,1,30,114.1802837,22.3056748,17282,18894,870,1373,-13,-367,56,367,268.03524,82,14.68201,1.14,0,0,558842204,0.0,0.0,0.0
94525000,2025,10,27,2,15,7,1,1,1,0,23,-460032,3,1,1,0,0,0,1,1,1,30,114.180279,22.3056723,17436,19049,861,1361,-327,-515,-108,610,237.5716,126,7.25473,1.19,0,0,558842204,0.0,0.0,0.0
94526000,2025,10,27,2,15,8,1,1,1,0,23,-460098,3,1,1,0,0,0,1,1,1,29,114.1802738,22.3056695,17456,19069,861,1366,-315,-547,-25,631,240.02586,116,7.84931,1.22,0,0,558842204,0.0,0.0,0.0
94527000,2025,10,27,2,15,9,1,1,1,0,23,-460163,3,1,1,0,0,0,1,1,1,29,114.1802677,22.3056671,17563,19176,855,1357,-248,-655,-142,700,249.24338,129,6.61242,1.22,0,0,558842204,0.0,0.0,0.0
94528000,2025,10,27,2,15,10,1,1,1,0,23,-460228,3,1,1,0,0,0,1,1,1,29,114.1802609,22.3056652,17606,19219,848,1346,-183,-716,-35,739,255.66832,110,6.19262,1.22,0,0,558842204,0.0,0.0,0.0
94529000,2025,10,27,2,15,11,1,1,1,0,23,-460293,3,1,1,0,0,0,1,1,1,30,114.180253,22.3056623,17734,19347,836,1327,-362,-843,-88,917,246.76556,110,3.9363,1.14,0,0,558842204,0.0,0.0,0.0
94530000,2025,10,27,2,15,12,1,1,1,0,23,-460359,3,1,1,0,0,0,1,1,1,29,114.1802454,22.3056589,17758,19371,828,1314,-364,-729,78,815,243.48496,95,5.02636,1.14,0,0,558842204,0.0,0.0,0.0
