iTOW,gDOP,pDOP,tDOP,vDOP,hDOP,nDOP,eDOP
94522000,1.41,1.19,0.75,1.02,0.61,0.35,0.5
94523000,1.57,1.32,0.85,1.12,0.7,0.39,0.58
94524000,1.34,1.14,0.71,0.99,0.57,0.35,0.45
94525000,1.41,1.19,0.75,1.02,0.61,0.35,0.5
94526000,1.45,1.22,0.78,1.05,0.63,0.38,0.5
94527000,1.45,1.22,0.78,1.05,0.63,0.38,0.5
94528000,1.45,1.22,0.78,1.05,0.63,0.38,0.5
94529000,1.34,1.14,0.71,0.99,0.57,0.35,0.45
94530000,1.34,1.14,0.71,0.99,0.57,0.35,0.45
94531000,1.3,1.1,0.68,0.95,0.55,0.35,0.43
94532000,1.3,1.1,0.68,0.95,0.55,0.35,0.43
94533000,1.31,1.12,0.69,0.96,0.56,0.36,0.43
94534000,1.32,1.12,0.69,0.97,0.56,0.35,0.44
94535000,1.32,1.12,0.69,0.97,0.56,0.35,0.44
94536000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94537000,1.25,1.06,0.65,0.92,0.53,0.35,0.39
94538000,1.25,1.06,0.65,0.92,0.53,0.35,0.39
94539000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94540000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94541000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94542000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94543000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94544000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94545000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94546000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94547000,1.25,1.06,0.65,0.92,0.53,0.35,0.39
94548000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94549000,1.25,1.06,0.65,0.92,0.53,0.35,0.39
94550000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94551000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94552000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94553000,1.26,1.07,0.66,0.93,0.53,0.35,0.4
94554000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94555000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94556000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94557000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94558000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94559000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94560000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94561000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94562000,1.24,1.06,0.64,0.93,0.51,0.33,0.39
94563000,1.24,1.06,0.64,0.93,0.51,0.33,0.39
94564000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94565000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94566000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94567000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94568000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94569000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94570000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94571000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94572000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94573000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94574000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94575000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94576000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94577000,1.28,1.09,0.67,0.94,0.55,0.34,0.43
94578000,1.28,1.09,0.67,0.94,0.55,0.34,0.43
94579000,1.24,1.06,0.65,0.92,0.52,0.34,0.4
94580000,1.27,1.08,0.66,0.94,0.54,0.34,0.43
94581000,1.27,1.08,0.66,0.94,0.54,0.34,0.43
94582000,1.27,1.08,0.66,0.94,0.54,0.34,0.43
94583000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94584000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94585000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94586000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94587000,1.28,1.09,0.67,0.94,0.55,0.33,0.43
94588000,1.28,1.09,0.67,0.94,0.55,0.33,0.43
94589000,1.28,1.09,0.67,0.94,0.55,0.33,0.43
94590000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94591000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94592000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94593000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94594000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94595000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94596000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94597000,1.23,1.05,0.64,0.92,0.51,0.34,0.38
94598000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94599000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94600000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94601000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94602000,1.3,1.1,0.68,0.96,0.54,0.34,0.43
94603000,1.26,1.07,0.66,0.93,0.53,0.33,0.41
94604000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94605000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94606000,1.38,1.17,0.74,1.0,0.6,0.38,0.47
94607000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94608000,1.43,1.21,0.77,1.04,0.61,0.38,0.48
94609000,1.33,1.13,0.71,0.98,0.57,0.38,0.42
94610000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94611000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94612000,1.4,1.18,0.75,1.01,0.61,0.38,0.48
94613000,1.39,1.17,0.74,1.01,0.58,0.38,0.44
94614000,1.35,1.15,0.72,0.99,0.59,0.39,0.44
94615000,1.41,1.19,0.75,1.02,0.6,0.37,0.47
94616000,1.4,1.18,0.75,1.02,0.6,0.4,0.45
94617000,1.35,1.15,0.72,0.99,0.59,0.39,0.44
94618000,1.32,1.12,0.7,0.97,0.56,0.37,0.42
94619000,1.36,1.15,0.72,0.99,0.59,0.39,0.44
94620000,1.4,1.18,0.75,1.02,0.6,0.4,0.45
94621000,1.55,1.3,0.84,1.11,0.67,0.41,0.54
94622000,1.39,1.17,0.74,1.01,0.58,0.38,0.44
94623000,1.39,1.17,0.74,1.01,0.58,0.38,0.44
94624000,1.45,1.23,0.78,1.05,0.63,0.38,0.5
94625000,1.34,1.14,0.71,0.99,0.57,0.37,0.43
94626000,1.34,1.14,0.71,0.99,0.57,0.37,0.43
94627000,1.34,1.14,0.71,0.99,0.57,0.35,0.45
94628000,1.34,1.14,0.71,0.99,0.57,0.37,0.43
94629000,1.34,1.14,0.71,0.98,0.59,0.38,0.45
94630000,1.45,1.23,0.78,1.05,0.63,0.38,0.5
94631000,1.39,1.17,0.74,1.01,0.6,0.38,0.47
94632000,1.34,1.14,0.71,0.99,0.57,0.35,0.45
94633000,1.45,1.23,0.78,1.05,0.63,0.38,0.5
94634000,1.34,1.14,0.71,0.99,0.57,0.37,0.43
94635000,1.34,1.14,0.71,0.99,0.57,0.37,0.43
94636000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94637000,1.25,1.06,0.65,0.92,0.53,0.35,0.39
94638000,1.34,1.14,0.71,0.99,0.57,0.37,0.43
94639000,1.25,1.06,0.65,0.92,0.53,0.35,0.39
94640000,1.3,1.1,0.68,0.95,0.55,0.35,0.43
94641000,1.3,1.1,0.68,0.95,0.55,0.35,0.43
94642000,1.3,1.1,0.68,0.95,0.55,0.35,0.43
94643000,1.3,1.1,0.68,0.95,0.55,0.35,0.43
94644000,1.3,1.1,0.68,0.95,0.55,0.35,0.43
94645000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94646000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94647000,1.3,1.11,0.69,0.96,0.56,0.37,0.42
94648000,1.25,1.06,0.65,0.93,0.53,0.35,0.39
94649000,1.31,1.11,0.69,0.96,0.56,0.37,0.42
94650000,1.31,1.11,0.69,0.96,0.56,0.37,0.42
94651000,1.25,1.06,0.65,0.93,0.53,0.35,0.39
94652000,1.31,1.11,0.69,0.96,0.56,0.37,0.42
94653000,1.31,1.11,0.69,0.96,0.56,0.37,0.42
94654000,1.25,1.06,0.65,0.93,0.53,0.35,0.39
94655000,1.31,1.11,0.69,0.96,0.56,0.37,0.42
94656000,1.31,1.11,0.69,0.96,0.56,0.37,0.42
94657000,1.31,1.11,0.69,0.96,0.56,0.37,0.42
94658000,1.31,1.11,0.69,0.96,0.56,0.37,0.42
94659000,1.25,1.06,0.65,0.93,0.53,0.35,0.39
94660000,1.25,1.06,0.65,0.93,0.53,0.35,0.39
94661000,1.25,1.06,0.65,0.93,0.53,0.35,0.39
