iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,utcStandard
94474000,23,-456412,2025,10,27,2,14,16,1,1,1,3
94475000,23,-456483,2025,10,27,2,14,17,1,1,1,3
94476000,23,-456554,2025,10,27,2,14,18,1,1,1,3
94477000,23,-456624,2025,10,27,2,14,19,1,1,1,3
94478000,23,-456695,2025,10,27,2,14,20,1,1,1,3
94479000,23,-456766,2025,10,27,2,14,21,1,1,1,3
94480000,23,-456837,2025,10,27,2,14,22,1,1,1,3
94481000,23,-456908,2025,10,27,2,14,23,1,1,1,3
94482000,23,-456979,2025,10,27,2,14,24,1,1,1,3
94483000,23,-457051,2025,10,27,2,14,25,1,1,1,3
94484000,23,-457122,2025,10,27,2,14,26,1,1,1,3
94485000,23,-457193,2025,10,27,2,14,27,1,1,1,3
94486000,23,-457265,2025,10,27,2,14,28,1,1,1,3
94487000,23,-457336,2025,10,27,2,14,29,1,1,1,3
94488000,23,-457408,2025,10,27,2,14,30,1,1,1,3
94489000,23,-457480,2025,10,27,2,14,31,1,1,1,3
94490000,23,-457553,2025,10,27,2,14,32,1,1,1,3
94491000,23,-457626,2025,10,27,2,14,33,1,1,1,3
94492000,23,-457698,2025,10,27,2,14,34,1,1,1,3
94493000,23,-457770,2025,10,27,2,14,35,1,1,1,3
94494000,23,-457843,2025,10,27,2,14,36,1,1,1,3
94495000,23,-457915,2025,10,27,2,14,37,1,1,1,3
94496000,23,-457988,2025,10,27,2,14,38,1,1,1,3
94497000,23,-458061,2025,10,27,2,14,39,1,1,1,3
94498000,23,-458134,2025,10,27,2,14,40,1,1,1,3
94499000,23,-458208,2025,10,27,2,14,41,1,1,1,3
94500000,23,-458283,2025,10,27,2,14,42,1,1,1,3
94501000,23,-458357,2025,10,27,2,14,43,1,1,1,3
94502000,23,-458432,2025,10,27,2,14,44,1,1,1,3
94503000,23,-458507,2025,10,27,2,14,45,1,1,1,3
94504000,23,-458582,2025,10,27,2,14,46,1,1,1,3
94505000,23,-458653,2025,10,27,2,14,47,1,1,1,3
94506000,23,-458722,2025,10,27,2,14,48,1,1,1,3
94507000,23,-458791,2025,10,27,2,14,49,1,1,1,3
94508000,23,-458860,2025,10,27,2,14,50,1,1,1,3
94509000,24,-458930,2025,10,27,2,14,51,1,1,1,3
94510000,24,-459000,2025,10,27,2,14,52,1,1,1,3
94511000,24,-459071,2025,10,27,2,14,53,1,1,1,3
94512000,24,-459142,2025,10,27,2,14,54,1,1,1,3
94513000,24,-459214,2025,10,27,2,14,55,1,1,1,3
94514000,24,-459285,2025,10,27,2,14,56,1,1,1,3
94515000,24,-459356,2025,10,27,2,14,57,1,1,1,3
94516000,24,-459426,2025,10,27,2,14,58,1,1,1,3
94517000,24,-459497,2025,10,27,2,14,59,1,1,1,3
94518000,24,-459566,2025,10,27,2,15,0,1,1,1,3
94519000,24,-459634,2025,10,27,2,15,1,1,1,1,3
94520000,24,-459700,2025,10,27,2,15,2,1,1,1,3
94521000,23,-459767,2025,10,27,2,15,3,1,1,1,3
94522000,23,-459833,2025,10,27,2,15,4,1,1,1,3
94523000,23,-459899,2025,10,27,2,15,5,1,1,1,3
94524000,23,-459965,2025,10,27,2,15,6,1,1,1,3
94525000,23,-460032,2025,10,27,2,15,7,1,1,1,3
94526000,23,-460098,2025,10,27,2,15,8,1,1,1,3
94527000,23,-460163,2025,10,27,2,15,9,1,1,1,3
94528000,23,-460228,2025,10,27,2,15,10,1,1,1,3
94529000,23,-460293,2025,10,27,2,15,11,1,1,1,3
94530000,23,-460359,2025,10,27,2,15,12,1,1,1,3
94531000,23,-460424,2025,10,27,2,15,13,1,1,1,3
94532000,23,-460487,2025,10,27,2,15,14,1,1,1,3
94533000,23,-460552,2025,10,27,2,15,15,1,1,1,3
94534000,23,-460616,2025,10,27,2,15,16,1,1,1,3
94535000,23,-460680,2025,10,27,2,15,17,1,1,1,3
94536000,23,-460743,2025,10,27,2,15,18,1,1,1,3
94537000,23,-460807,2025,10,27,2,15,19,1,1,1,3
94538000,23,-460871,2025,10,27,2,15,20,1,1,1,3
94539000,23,-460933,2025,10,27,2,15,21,1,1,1,3
94540000,23,-460996,2025,10,27,2,15,22,1,1,1,3
94541000,23,-461060,2025,10,27,2,15,23,1,1,1,3
94542000,23,-461123,2025,10,27,2,15,24,1,1,1,3
94543000,23,-461186,2025,10,27,2,15,25,1,1,1,3
94544000,23,-461250,2025,10,27,2,15,26,1,1,1,3
94545000,23,-461313,2025,10,27,2,15,27,1,1,1,3
94546000,23,-461377,2025,10,27,2,15,28,1,1,1,3
94547000,23,-461440,2025,10,27,2,15,29,1,1,1,3
94548000,23,-461503,2025,10,27,2,15,30,1,1,1,3
94549000,23,-461567,2025,10,27,2,15,31,1,1,1,3
94550000,23,-461631,2025,10,27,2,15,32,1,1,1,3
94551000,23,-461694,2025,10,27,2,15,33,1,1,1,3
94552000,23,-461757,2025,10,27,2,15,34,1,1,1,3
94553000,23,-461820,2025,10,27,2,15,35,1,1,1,3
94554000,23,-461884,2025,10,27,2,15,36,1,1,1,3
94555000,23,-461947,2025,10,27,2,15,37,1,1,1,3
94556000,23,-462010,2025,10,27,2,15,38,1,1,1,3
94557000,23,-462074,2025,10,27,2,15,39,1,1,1,3
94558000,23,-462138,2025,10,27,2,15,40,1,1,1,3
94559000,23,-462203,2025,10,27,2,15,41,1,1,1,3
94560000,23,-462267,2025,10,27,2,15,42,1,1,1,3
94561000,23,-462331,2025,10,27,2,15,43,1,1,1,3
94562000,23,-462397,2025,10,27,2,15,44,1,1,1,3
94563000,23,-462464,2025,10,27,2,15,45,1,1,1,3
94564000,23,-462529,2025,10,27,2,15,46,1,1,1,3
94565000,23,-462593,2025,10,27,2,15,47,1,1,1,3
94566000,23,-462657,2025,10,27,2,15,48,1,1,1,3
94567000,23,-462721,2025,10,27,2,15,49,1,1,1,3
94568000,23,-462785,2025,10,27,2,15,50,1,1,1,3
94569000,23,-462849,2025,10,27,2,15,51,1,1,1,3
94570000,23,-462913,2025,10,27,2,15,52,1,1,1,3
94571000,23,-462978,2025,10,27,2,15,53,1,1,1,3
94572000,23,-463042,2025,10,27,2,15,54,1,1,1,3
94573000,23,-463106,2025,10,27,2,15,55,1,1,1,3
94574000,23,-463170,2025,10,27,2,15,56,1,1,1,3
94575000,23,-463234,2025,10,27,2,15,57,1,1,1,3
94576000,23,-463298,2025,10,27,2,15,58,1,1,1,3
94577000,23,-463362,2025,10,27,2,15,59,1,1,1,3
94578000,23,-463425,2025,10,27,2,16,0,1,1,1,3
94579000,23,-463489,2025,10,27,2,16,1,1,1,1,3
94580000,23,-463553,2025,10,27,2,16,2,1,1,1,3
94581000,23,-463618,2025,10,27,2,16,3,1,1,1,3
94582000,23,-463683,2025,10,27,2,16,4,1,1,1,3
94583000,23,-463748,2025,10,27,2,16,5,1,1,1,3
94584000,23,-463813,2025,10,27,2,16,6,1,1,1,3
94585000,23,-463878,2025,10,27,2,16,7,1,1,1,3
94586000,23,-463943,2025,10,27,2,16,8,1,1,1,3
94587000,23,-464008,2025,10,27,2,16,9,1,1,1,3
94588000,23,-464073,2025,10,27,2,16,10,1,1,1,3
94589000,23,-464139,2025,10,27,2,16,11,1,1,1,3
94590000,23,-464205,2025,10,27,2,16,12,1,1,1,3
94591000,23,-464271,2025,10,27,2,16,13,1,1,1,3
94592000,23,-464337,2025,10,27,2,16,14,1,1,1,3
94593000,23,-464403,2025,10,27,2,16,15,1,1,1,3
94594000,23,-464469,2025,10,27,2,16,16,1,1,1,3
94595000,23,-464535,2025,10,27,2,16,17,1,1,1,3
94596000,23,-464601,2025,10,27,2,16,18,1,1,1,3
94597000,23,-464668,2025,10,27,2,16,19,1,1,1,3
94598000,23,-464736,2025,10,27,2,16,20,1,1,1,3
94599000,23,-464803,2025,10,27,2,16,21,1,1,1,3
94600000,23,-464870,2025,10,27,2,16,22,1,1,1,3
94601000,23,-464937,2025,10,27,2,16,23,1,1,1,3
94602000,23,-465003,2025,10,27,2,16,24,1,1,1,3
94603000,23,-465070,2025,10,27,2,16,25,1,1,1,3
94604000,23,-465138,2025,10,27,2,16,26,1,1,1,3
94605000,23,-465206,2025,10,27,2,16,27,1,1,1,3
94606000,23,-465275,2025,10,27,2,16,28,1,1,1,3
94607000,23,-465345,2025,10,27,2,16,29,1,1,1,3
94608000,23,-465415,2025,10,27,2,16,30,1,1,1,3
94609000,23,-465484,2025,10,27,2,16,31,1,1,1,3
94610000,23,-465552,2025,10,27,2,16,32,1,1,1,3
94611000,23,-465621,2025,10,27,2,16,33,1,1,1,3
94612000,23,-465690,2025,10,27,2,16,34,1,1,1,3
94613000,23,-465759,2025,10,27,2,16,35,1,1,1,3
94614000,23,-465826,2025,10,27,2,16,36,1,1,1,3
94615000,23,-465893,2025,10,27,2,16,37,1,1,1,3
94616000,23,-465961,2025,10,27,2,16,38,1,1,1,3
94617000,23,-466028,2025,10,27,2,16,39,1,1,1,3
94618000,23,-466096,2025,10,27,2,16,40,1,1,1,3
94619000,23,-466164,2025,10,27,2,16,41,1,1,1,3
94620000,23,-466232,2025,10,27,2,16,42,1,1,1,3
94621000,23,-466299,2025,10,27,2,16,43,1,1,1,3
94622000,23,-466365,2025,10,27,2,16,44,1,1,1,3
94623000,23,-466431,2025,10,27,2,16,45,1,1,1,3
94624000,24,-466497,2025,10,27,2,16,46,1,1,1,3
94625000,24,-466564,2025,10,27,2,16,47,1,1,1,3
94626000,24,-466631,2025,10,27,2,16,48,1,1,1,3
94627000,24,-466697,2025,10,27,2,16,49,1,1,1,3
94628000,24,-466764,2025,10,27,2,16,50,1,1,1,3
94629000,24,-466830,2025,10,27,2,16,51,1,1,1,3
94630000,24,-466896,2025,10,27,2,16,52,1,1,1,3
94631000,24,-466964,2025,10,27,2,16,53,1,1,1,3
94632000,24,-467031,2025,10,27,2,16,54,1,1,1,3
94633000,24,-467099,2025,10,27,2,16,55,1,1,1,3
94634000,24,-467166,2025,10,27,2,16,56,1,1,1,3
94635000,24,-467233,2025,10,27,2,16,57,1,1,1,3
94636000,24,-467301,2025,10,27,2,16,58,1,1,1,3
94637000,23,-467369,2025,10,27,2,16,59,1,1,1,3
94638000,23,-467436,2025,10,27,2,17,0,1,1,1,3
94639000,23,-467503,2025,10,27,2,17,1,1,1,1,3
94640000,23,-467570,2025,10,27,2,17,2,1,1,1,3
94641000,23,-467638,2025,10,27,2,17,3,1,1,1,3
94642000,23,-467705,2025,10,27,2,17,4,1,1,1,3
94643000,23,-467772,2025,10,27,2,17,5,1,1,1,3
94644000,23,-467839,2025,10,27,2,17,6,1,1,1,3
94645000,23,-467905,2025,10,27,2,17,7,1,1,1,3
94646000,23,-467973,2025,10,27,2,17,8,1,1,1,3
94647000,23,-468040,2025,10,27,2,17,9,1,1,1,3
94648000,23,-468105,2025,10,27,2,17,10,1,1,1,3
94649000,23,-468170,2025,10,27,2,17,11,1,1,1,3
94650000,23,-468236,2025,10,27,2,17,12,1,1,1,3
94651000,23,-468302,2025,10,27,2,17,13,1,1,1,3
94652000,23,-468369,2025,10,27,2,17,14,1,1,1,3
94653000,23,-468436,2025,10,27,2,17,15,1,1,1,3
94654000,23,-468502,2025,10,27,2,17,16,1,1,1,3
94655000,23,-468572,2025,10,27,2,17,17,1,1,1,3
94656000,23,-468642,2025,10,27,2,17,18,1,1,1,3
94657000,23,-468708,2025,10,27,2,17,19,1,1,1,3
94658000,23,-468770,2025,10,27,2,17,20,1,1,1,3
94659000,23,-468834,2025,10,27,2,17,21,1,1,1,3
94660000,23,-468897,2025,10,27,2,17,22,1,1,1,3
94661000,23,-468961,2025,10,27,2,17,23,1,1,1,3
