iTOW,qzssTow,fQzssTow,qzssWno,leapS,qzssTowValid,qzssWnoValid,leapSValid,tAcc
94490000,94490,-457555,2390,18,1,1,1,17
94491000,94491,-457628,2390,18,1,1,1,17
94492000,94492,-457700,2390,18,1,1,1,17
94493000,94493,-457772,2390,18,1,1,1,17
94494000,94494,-457845,2390,18,1,1,1,17
94495000,94495,-457917,2390,18,1,1,1,17
94496000,94496,-457990,2390,18,1,1,1,17
94497000,94497,-458063,2390,18,1,1,1,17
94498000,94498,-458136,2390,18,1,1,1,17
94499000,94499,-458210,2390,18,1,1,1,17
94500000,94500,-458285,2390,18,1,1,1,17
94501000,94501,-458359,2390,18,1,1,1,17
94502000,94502,-458434,2390,18,1,1,1,17
94503000,94503,-458509,2390,18,1,1,1,17
94504000,94504,-458584,2390,18,1,1,1,17
94505000,94505,-458655,2390,18,1,1,1,17
94506000,94506,-458724,2390,18,1,1,1,17
94507000,94507,-458793,2390,18,1,1,1,17
94508000,94508,-458862,2390,18,1,1,1,17
94509000,94509,-458932,2390,18,1,1,1,17
94510000,94510,-459002,2390,18,1,1,1,17
94511000,94511,-459073,2390,18,1,1,1,17
94512000,94512,-459144,2390,18,1,1,1,17
94513000,94513,-459216,2390,18,1,1,1,17
94514000,94514,-459287,2390,18,1,1,1,17
94515000,94515,-459358,2390,18,1,1,1,17
94516000,94516,-459428,2390,18,1,1,1,17
94517000,94517,-459499,2390,18,1,1,1,17
94518000,94518,-459568,2390,18,1,1,1,17
94519000,94519,-459636,2390,18,1,1,1,17
94520000,94520,-459702,2390,18,1,1,1,17
94521000,94521,-459769,2390,18,1,1,1,17
94522000,94522,-459835,2390,18,1,1,1,17
94523000,94523,-459901,2390,18,1,1,1,17
94524000,94524,-459968,2390,18,1,1,1,17
94525000,94525,-460034,2390,18,1,1,1,17
94526000,94526,-460100,2390,18,1,1,1,17
94527000,94527,-460165,2390,18,1,1,1,17
94528000,94528,-460230,2390,18,1,1,1,17
94529000,94529,-460295,2390,18,1,1,1,17
94530000,94530,-460361,2390,18,1,1,1,17
94531000,94531,-460426,2390,18,1,1,1,16
94532000,94532,-460489,2390,18,1,1,1,16
94533000,94533,-460554,2390,18,1,1,1,16
94534000,94534,-460618,2390,18,1,1,1,16
94535000,94535,-460682,2390,18,1,1,1,16
94536000,94536,-460745,2390,18,1,1,1,16
94537000,94537,-460809,2390,18,1,1,1,16
94538000,94538,-460873,2390,18,1,1,1,16
94539000,94539,-460936,2390,18,1,1,1,16
94540000,94540,-460998,2390,18,1,1,1,16
94541000,94541,-461062,2390,18,1,1,1,16
94542000,94542,-461125,2390,18,1,1,1,16
94543000,94543,-461188,2390,18,1,1,1,16
94544000,94544,-461252,2390,18,1,1,1,16
94545000,94545,-461315,2390,18,1,1,1,16
94546000,94546,-461379,2390,18,1,1,1,16
94547000,94547,-461442,2390,18,1,1,1,16
94548000,94548,-461505,2390,18,1,1,1,16
94549000,94549,-461569,2390,18,1,1,1,16
94550000,94550,-461633,2390,18,1,1,1,16
94551000,94551,-461696,2390,18,1,1,1,16
94552000,94552,-461759,2390,18,1,1,1,16
94553000,94553,-461822,2390,18,1,1,1,16
94554000,94554,-461886,2390,18,1,1,1,16
94555000,94555,-461949,2390,18,1,1,1,16
94556000,94556,-462012,2390,18,1,1,1,16
94557000,94557,-462076,2390,18,1,1,1,16
94558000,94558,-462140,2390,18,1,1,1,16
94559000,94559,-462205,2390,18,1,1,1,16
94560000,94560,-462269,2390,18,1,1,1,16
94561000,94561,-462333,2390,18,1,1,1,16
94562000,94562,-462399,2390,18,1,1,1,16
94563000,94563,-462466,2390,18,1,1,1,16
94564000,94564,-462531,2390,18,1,1,1,16
94565000,94565,-462595,2390,18,1,1,1,16
94566000,94566,-462659,2390,18,1,1,1,16
94567000,94567,-462723,2390,18,1,1,1,16
94568000,94568,-462787,2390,18,1,1,1,17
94569000,94569,-462851,2390,18,1,1,1,17
94570000,94570,-462915,2390,18,1,1,1,17
94571000,94571,-462980,2390,18,1,1,1,17
94572000,94572,-463044,2390,18,1,1,1,17
94573000,94573,-463108,2390,18,1,1,1,17
94574000,94574,-463172,2390,18,1,1,1,17
94575000,94575,-463237,2390,18,1,1,1,17
94576000,94576,-463300,2390,18,1,1,1,16
94577000,94577,-463364,2390,18,1,1,1,16
94578000,94578,-463427,2390,18,1,1,1,16
94579000,94579,-463491,2390,18,1,1,1,16
94580000,94580,-463555,2390,18,1,1,1,16
94581000,94581,-463620,2390,18,1,1,1,16
94582000,94582,-463685,2390,18,1,1,1,16
94583000,94583,-463750,2390,18,1,1,1,16
94584000,94584,-463815,2390,18,1,1,1,16
94585000,94585,-463880,2390,18,1,1,1,16
94586000,94586,-463945,2390,18,1,1,1,16
94587000,94587,-464010,2390,18,1,1,1,16
94588000,94588,-464076,2390,18,1,1,1,16
94589000,94589,-464141,2390,18,1,1,1,16
94590000,94590,-464207,2390,18,1,1,1,16
94591000,94591,-464273,2390,18,1,1,1,16
94592000,94592,-464339,2390,18,1,1,1,16
94593000,94593,-464405,2390,18,1,1,1,16
94594000,94594,-464471,2390,18,1,1,1,16
94595000,94595,-464537,2390,18,1,1,1,16
94596000,94596,-464603,2390,18,1,1,1,16
94597000,94597,-464670,2390,18,1,1,1,16
94598000,94598,-464738,2390,18,1,1,1,16
94599000,94599,-464805,2390,18,1,1,1,16
94600000,94600,-464872,2390,18,1,1,1,16
94601000,94601,-464939,2390,18,1,1,1,16
94602000,94602,-465005,2390,18,1,1,1,16
94603000,94603,-465072,2390,18,1,1,1,16
94604000,94604,-465140,2390,18,1,1,1,16
94605000,94605,-465209,2390,18,1,1,1,16
94606000,94606,-465277,2390,18,1,1,1,16
94607000,94607,-465347,2390,18,1,1,1,16
94608000,94608,-465417,2390,18,1,1,1,16
94609000,94609,-465486,2390,18,1,1,1,16
94610000,94610,-465554,2390,18,1,1,1,16
94611000,94611,-465623,2390,18,1,1,1,16
94612000,94612,-465692,2390,18,1,1,1,16
94613000,94613,-465761,2390,18,1,1,1,16
94614000,94614,-465828,2390,18,1,1,1,16
94615000,94615,-465895,2390,18,1,1,1,16
94616000,94616,-465963,2390,18,1,1,1,17
94617000,94617,-466030,2390,18,1,1,1,17
94618000,94618,-466098,2390,18,1,1,1,17
94619000,94619,-466166,2390,18,1,1,1,17
94620000,94620,-466234,2390,18,1,1,1,17
94621000,94621,-466301,2390,18,1,1,1,17
94622000,94622,-466367,2390,18,1,1,1,17
94623000,94623,-466433,2390,18,1,1,1,17
94624000,94624,-466499,2390,18,1,1,1,17
94625000,94625,-466566,2390,18,1,1,1,17
94626000,94626,-466633,2390,18,1,1,1,17
94627000,94627,-466699,2390,18,1,1,1,17
94628000,94628,-466766,2390,18,1,1,1,17
94629000,94629,-466832,2390,18,1,1,1,17
94630000,94630,-466898,2390,18,1,1,1,17
94631000,94631,-466966,2390,18,1,1,1,17
94632000,94632,-467033,2390,18,1,1,1,17
94633000,94633,-467101,2390,18,1,1,1,17
94634000,94634,-467168,2390,18,1,1,1,17
94635000,94635,-467235,2390,18,1,1,1,17
94636000,94636,-467303,2390,18,1,1,1,17
94637000,94637,-467371,2390,18,1,1,1,17
94638000,94638,-467438,2390,18,1,1,1,17
94639000,94639,-467505,2390,18,1,1,1,17
94640000,94640,-467572,2390,18,1,1,1,17
94641000,94641,-467640,2390,18,1,1,1,17
94642000,94642,-467707,2390,18,1,1,1,17
94643000,94643,-467774,2390,18,1,1,1,17
94644000,94644,-467841,2390,18,1,1,1,16
94645000,94645,-467908,2390,18,1,1,1,16
94646000,94646,-467975,2390,18,1,1,1,16
94647000,94647,-468042,2390,18,1,1,1,16
94648000,94648,-468107,2390,18,1,1,1,16
94649000,94649,-468172,2390,18,1,1,1,16
94650000,94650,-468238,2390,18,1,1,1,16
94651000,94651,-468304,2390,18,1,1,1,16
94652000,94652,-468371,2390,18,1,1,1,16
94653000,94653,-468438,2390,18,1,1,1,16
94654000,94654,-468504,2390,18,1,1,1,16
94655000,94655,-468574,2390,18,1,1,1,16
94656000,94656,-468644,2390,18,1,1,1,16
94657000,94657,-468710,2390,18,1,1,1,16
94658000,94658,-468772,2390,18,1,1,1,16
94659000,94659,-468836,2390,18,1,1,1,16
94660000,94660,-468899,2390,18,1,1,1,16
94661000,94661,-468963,2390,18,1,1,1,16
